,title,price,link,realese
0,Grand Theft Auto V,,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_151_150_1,"13 Apr, 2015"
1,Grand Theft Auto,,https://store.steampowered.com/app/12170/Grand_Theft_Auto/?snr=1_7_7_151_150_1,"4 Jan, 2008"
2,Grand Theft Auto 2,,https://store.steampowered.com/app/12180/Grand_Theft_Auto_2/?snr=1_7_7_151_150_1,"4 Jan, 2008"
3,Grand Theft Auto V: Premium Edition,Rp 300 750,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Edition/?snr=1_7_7_151_150_1,None
4,Grand Theft Auto IV: Complete Edition,,https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/?snr=1_7_7_151_150_1,None
5,Grand Theft Auto IV: The Complete Edition,Rp 210 000,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV_The_Complete_Edition/?snr=1_7_7_151_150_1,"24 Mar, 2020"
6,GTA Online: Shark Cash Cards,,https://store.steampowered.com/app/376850/GTA_Online_Shark_Cash_Cards/?snr=1_7_7_151_150_1,"9 Jun, 2015"
7,Grand Theft Auto: Episodes from Liberty City,,https://store.steampowered.com/app/12220/Grand_Theft_Auto_Episodes_from_Liberty_City/?snr=1_7_7_151_150_1,"12 Apr, 2010"
8,Grand Theft Auto V - Criminal Enterprise Starter Pack,Rp 111 000,https://store.steampowered.com/app/771300/Grand_Theft_Auto_V__Criminal_Enterprise_Starter_Pack/?snr=1_7_7_151_150_1,"14 Dec, 2017"
9,Grand Theft Auto V: Premium Edition & Megalodon Shark Card Bundle,Rp 856 640,https://store.steampowered.com/bundle/5702/Grand_Theft_Auto_V_Premium_Edition__Megalodon_Shark_Card_Bundle/?snr=1_7_7_151_150_1,None
10,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,Rp 441 375,https://store.steampowered.com/bundle/5700/Grand_Theft_Auto_V_Premium_Edition__Great_White_Shark_Card_Bundle/?snr=1_7_7_151_150_1,None
